GEN_TsB;INV_S;PFC_Ia;PFC_Ib;PFC_Ic;PFC_VBus;InjectorDuty;T13;T2;w9;T91;T41_44_avg
381,9;305,9;8,5;8,8;8,5;715,7;0,4;319,1;335,2;140422;403,7;1115,7
381,8;304,7;14,5;14,4;14,0;690,7;0,5;319,1;335,3;139749;403,5;1115,7
381,9;305,6;9,6;9,5;10,6;738,2;0,5;319,2;335,3;141948;403,7;1115,7
381,7;305,5;7,8;7,6;7,8;664,9;0,5;319,2;335,2;139613;403,9;1115,7
381,9;305,9;9,7;9,3;10,7;736,9;0,4;319,2;335,3;137851;403,6;1115,7
382,0;305,9;8,3;8,3;8,1;705,3;0,5;319,2;335,3;140124;403,4;1115,8
381,8;305,1;10,9;9,9;11,4;726,0;0,5;319,2;335,3;140538;403,1;1115,8
381,9;305,5;7,0;6,1;6,1;683,8;0,5;319,1;335,3;141354;403,3;1115,8
381,9;304,8;9,6;9,7;9,7;663,3;0,5;319,0;335,3;138839;403,4;1115,9
381,9;306,3;9,1;9,6;9,6;732,8;0,4;319,0;335,2;140050;403,4;1115,9
381,8;304,7;11,8;12,2;12,0;664,8;0,5;319,1;335,2;140088;403,8;1116,0
382,0;305,6;11,8;10,7;11,7;719,8;0,5;319,1;335,2;140730;403,7;1116,0
381,9;305,4;6,7;5,6;5,9;671,4;0,5;319,2;335,2;139695;403,7;1115,9
381,9;305,2;9,7;9,4;11,0;736,8;0,5;319,1;335,2;138048;403,7;1116,0
382,0;305,8;8,1;7,8;7,7;699,7;0,5;319,1;335,2;139920;403,7;1116,0
381,9;305,2;12,4;11,5;12,4;714,7;0,5;319,2;335,2;141489;403,5;1116,0
381,9;304,9;6,4;5,6;5,7;671,7;0,5;319,2;335,2;139804;403,1;1116,0
381,9;305,1;14,3;15,1;14,0;675,8;0,4;319,2;335,2;138466;402,9;1116,1
382,0;305,8;8,2;8,2;8,1;705,5;0,5;319,1;335,2;139708;402,7;1116,2
382,0;305,6;9,9;9,6;11,0;737,4;0,5;319,1;335,2;137828;402,8;1116,2
381,9;305,6;7,9;7,6;7,6;696,2;0,5;319,2;335,2;140145;403,0;1116,3
381,9;305,8;12,3;11,3;12,1;715,1;0,5;319,2;335,2;140327;402,9;1116,3
381,8;306,1;6,5;5,6;5,7;675,1;0,5;319,2;335,2;140694;403,1;1116,3
381,9;304,8;13,0;14,0;12,9;669,1;0,5;319,2;335,2;137821;403,2;1116,4
382,0;306,5;9,1;9,5;9,3;729,1;0,5;319,2;335,2;139761;403,3;1116,4
382,0;304,8;14,7;14,9;14,2;685,4;0,5;319,3;335,2;139845;403,3;1116,4
382,0;305,5;12,2;11,1;11,9;716,2;0,5;319,2;335,2;140164;403,4;1116,4
382,0;306,1;7,3;6,5;6,4;687,6;0,5;319,2;335,2;140191;403,5;1116,4
381,9;304,7;12,0;11,0;12,1;718,3;0,5;319,3;335,3;139525;403,5;1116,5
381,9;305,6;9,4;10,0;10,4;738,9;0,5;319,3;335,2;141929;403,5;1116,5
381,9;305,3;6,8;6,5;6,5;667,0;0,5;319,3;335,2;139621;403,5;1116,6
382,1;305,8;9,5;9,7;10,9;739,0;0,4;319,3;335,3;137933;403,5;1116,6
382,0;305,8;8,4;8,2;8,0;702,6;0,5;319,3;335,2;140235;403,5;1116,6
381,9;305,0;14,2;13,8;13,5;698,3;0,5;319,3;335,2;138835;403,4;1116,7
382,0;305,6;7,8;7,5;7,4;695,8;0,5;319,3;335,2;141935;403,5;1116,7
382,0;305,3;7,0;6,7;6,9;666,3;0,5;319,2;335,2;139820;403,4;1116,7
382,0;305,3;9,7;9,4;10,7;737,2;0,4;319,2;335,2;141900;403,7;1116,8
382,1;305,5;6,7;5,8;6,1;669,0;0,5;319,2;335,2;139880;403,5;1116,8
382,0;304,9;14,4;14,5;13,6;690,7;0,4;319,3;335,2;140990;403,6;1116,9
382,0;305,5;6,6;5,6;5,7;677,7;0,5;319,3;335,2;137426;403,2;1116,9
382,0;305,7;8,7;8,9;8,7;718,2;0,4;319,2;335,2;140468;403,5;1116,9
382,0;304,8;11,0;11,3;11,2;664,2;0,5;319,2;335,3;139144;403,7;1116,9
382,1;304,7;7,1;6,2;6,2;684,0;0,5;319,2;335,2;139102;403,5;1116,9
382,0;305,5;9,7;10,1;10,5;739,2;0,5;319,1;335,2;140583;403,5;1117,1
382,1;305,5;6,4;5,7;5,7;671,5;0,5;319,1;335,3;138637;403,5;1117,1
381,9;305,8;9,5;10,1;10,4;737,7;0,5;319,2;335,3;140293;403,8;1117,1
382,0;305,4;12,4;11,5;12,2;714,7;0,5;319,2;335,3;137375;403,7;1117,2
382,0;305,9;8,7;9,1;8,9;722,9;0,5;319,2;335,2;139994;403,7;1117,2
382,0;304,7;11,0;9,9;11,5;726,3;0,5;319,2;335,2;141966;403,8;1117,2
382,1;305,0;6,6;5,7;5,9;670,5;0,5;319,2;335,3;140097;403,8;1117,2
382,1;305,2;14,3;14,1;13,5;696,2;0,4;319,1;335,4;141880;403,8;1117,2
382,1;304,7;9,5;9,8;9,7;663,2;0,5;319,1;335,4;138207;403,8;1117,2
382,1;305,7;7,7;7,2;7,0;692,1;0,4;319,1;335,3;140166;403,7;1117,2
382,0;305,1;12,5;11,5;12,3;714,7;0,5;319,1;335,3;139783;403,7;1117,3
382,2;305,8;14,1;13,7;13,3;700,0;0,5;319,1;335,4;140509;403,9;1117,3
